168	FN-139	M2	45	17	1
169	FN-140	M2	42	7	1
170	FN-141	M2	48	60	1
171	FN-142	M2	60	21	1
172	FN-143	M2	43	42	1
173	FN-144	M2	66	8	1
174	FN-145	M2	56	48	1
175	FN-146	M2	58	42	1
176	FN-147	M2	36	7	1
177	FN-148	M2	46	11	1
178	FN-149	M2	54	150	1
179	FN-150	M2	44	6	1
180	FN-151	M2	53	83	1
181	FN-152	M2	42	21	1
182	FN-153	M2	55	33	1
183	FN-154	M2	50	40	1
184	FN-155	M2	105	21	1
185	FN-156	M2	119	18	1
186	FN-157	M2	109	86	1
187	FN-158	M2	63	175	1
188	FN-159	M2	48	55	1
189	FN-160	M2	51	87	1
190	FN-161	M2	56	118	1
191	FN-162	M2	61	86	1
192	FN-163	M2	57	38	1
193	FN-164	M2	79	61	1
194	FN-165	M2	41	6	1
195	FN-166	M2	63	20	1
196	FN-167	M2	75	58	1
197	FN-168	M2	46	15	1
198	FN-169	M2	75	91	1
199	FN-170	M2	85	62	1
200	FN-171	M2	63	22	1
201	FN-172	M2	54	3	1
202	FN-173	M2	63	13	1
203	FN-174	M2	108	20	1
204	FN-175	M2	81	83	1
205	FN-176	M2	34	16	1
206	FN-177	M2	36	5	1
207	FN-178	M2	42	5	1
208	FN-179	M2	40	10	1
209	FN-180	M2-SOS	41	63	1
210	FN-181	M2	70	28	1
211	FN-182	M2	55	11	1
212	FN-183	M2	56	73	1
213	FN-184	M2	62	20	1
214	FN-185	M2-SOS	49	14	1
215	FN185-2_3_4	M2	53	11	0
216	FN185-2/3/4	M2	5	75	0
217	FN-186	M2	42	5	1
218	FN-187	M2	66	71	1
219	FN-188	M2	56	19	1
220	FN-189	M2	100	48	1
221	FN-190	M2	70	9	1
222	FN-191	M2	70	26	1
223	FN-192	M2	53	9	1
224	FN-193	M2	44	46	1
225	FN-194	M2	56	17	1
226	FN-195	M2	51	19	1
227	FN-196	M2	48	8	1
228	FN-197	M2	43	64	1
229	FN-198	M2	65	36	1
230	FN-199	M2	57	11	1
231	FN-200	M2	55	25	1
232	FN-201	M2	45	241	1
233	FN-202	M2	70	14	1
234	FN-203	M2	54	61	1
235	FN-204	M2	50	98	1
236	FN-205	M2	41	11	1
237	FN-206	M2	65	187	1
238	FN-207	M2	64	406	1
239	FN-208	M2	52	105	1
240	FN-210	M2	46	62	1
241	FN-211	M2	51	11	1
242	FN-212	M2	57	131	1
243	FN-213	M2	46	171	1
244	FN-214	M2	31	6	1
245	FN-215	M2	80	152	1
246	FN-216	M2	64	65	1
247	FN-217	M2	61	7	1
248	FN-218	M2	66	7	1
249	FN-219	M2	39	10	1
250	FN-220	M2	39	4	1
251	FN-221	M2	45	8	1
252	FN-222	M2	95	16	1
253	FN-223	M2	98	106	1
254	FN224-S	M2	52	102	1
255	FN-225	M2	87	13	1
256	FN-226	M2	76	233	1
257	FN-227	M2	49	25	1
258	FN-228	M2	48	8	1
259	FN229-S	M2	79	16	1
260	FN230-S	M2	68	4	1
261	FN-231	M2-SOS	95	113	1
262	FN-232	M2	108	12	1
263	FN-233	M2	84	96	1
264	FN-234	M2	72	18	1
265	FN-235	M2	76	5	1
266	FN-236	M2	82	10	1
267	FN-237	M2-SOS	53	18	1
268	FN-238	M2	45	6	1
269	FN239-S	M2	54	6	1
270	FN-240	M2	48	13	1
271	FN-241	M2	49	5	1
272	FN242-S	M2	54	100	1
273	FN-243	M2	51	67	1
274	FN244-S	M2	73	26	1
275	FN-245	M2	47	5	1
276	FN-246	M2	76	66	1
277	W246-5-1	M2	89	25	0
278	FN-247	M2	46	49	1
279	W247-2-1	M2	68	52	1
280	FN-248	M2	60	233	1
281	FN-249	M2	46	133	1
282	FN-250	M2	41	4	1
283	FN-251	M2	62	126	1
284	FN-252	M2	53	13	1
285	W252-6-1	M2	69	14	1
286	FN-253	M2	5	107	1
287	FN-254	M2	4	55	1
288	FN-255	M2	33	11	1
289	FN-256	M2	50	6	1
290	FN-257	M2	63	167	1
291	FN-258	M2	52	14	1
292	FN-259	M2	47	661	1
293	FN260-S	M2	56	15	0
294	FN-261	M2	43	54	1
295	FN-262	M2	42	10	1
296	FN-263	M2	26	4	1
297	FN-264	M2	62	23	1
298	FN-265	M2-SOS	63	29	1
299	FN266-S	M2	57	10	1
300	FN267-S	M2	42	4	1
301	FN-268	M2	72	16	1
302	FN-269	M2	72	155	1
303	FN-272	M2	70	16	1
304	FN-273	M2	68	115	1
305	FN-274	M2	70	19	1
306	FN-275	M2	57	11	1
307	FN276-S	M2	52	14	1
308	W276-2-1	M2	58	6	1
309	FN-277	M2	77	16	1
310	FN-278	M2	86	12	1
311	W278-3-1	M2	69	8	1
312	FN-279	M2	76	13	1
313	W279-4-1	M2	49	11	0
314	FN-281	M2	77	19	1
315	FN282-S	M2	53	83	1
316	FN-283	M2	73	14	1
317	FN-284	M2	50	135	1
318	FN-285	M2	89	27	1
319	FN-286	M2	68	49	1
320	FN-287	M2	79	22	1
321	FN-288	M2	76	46	1
322	FN-289	M2-SOS	56	15	1
323	FN-290	M2	68	86	1
324	FN-291	M2	54	28	1
325	FN-292	M2	54	13	1
326	FN-293	M2	48	26	1
327	FN-294	M2	60	29	1
328	FN-295	M2	45	5	1
329	FN-296	M2	43	70	1
330	FN-298	M2	52	24	1
331	FN-299	M2	43	8	1
332	FN-300	M2	49	40	1
333	FN-301	M2	49	12	1
334	FN302-S	M2	50	2	1
335	FN-303	M2	46	24	1
336	FN-304	M2-SOS	48	13	1
337	FN-305	M2	70	99	1
338	FN-306	M2	55	7	1
339	FN-307	M2	46	10	1
340	FN-308	M2	41	29	1
341	FN-309	M2	54	25	1
342	FN-310	M2	44	8	1
343	FN-311	M2	44	16	1
344	FN-312	M2	40	5	1
345	FN-313	M2	42	113	1
346	W313-1-1-1-1	M2	50	7	1
347	FN-314	M2	97	18	1
348	FN-315	M2	44	246	1
349	FN-316	M2	38	15	1
350	FN317-S	M2	49	114	1
351	FN318-S	M2	85	79	1
352	FN319-S	M2	64	28	1
353	FN320-S	M2	59	12	1
354	FN321-S	M2	52	11	1
355	FN322-S	M2	50	14	1
356	FN323-S	M2	51	9	1
357	FN-325	M2	36	4	1
358	FN-327	M2	42	35	1
359	FN-328	M2	41	9	1
360	FN-329	M2	60	161	1
361	FN-330	M2	42	73	1
